Name,Yearly Salary,YDS,TD,Injured
Ezekiel Elliott,18220000,876,12,1
Dalvin Cook,12001272,1173,8,0
Joe Mixon,11420588,826,7,1
Derrick Henry,9367647,1538,13,1
Saquon Barkley,7217000,1312,10,1
Austin Ekeler,7000000,915,13,0
Kareem Hunt,6250000,468,3,0
Alvin Kamara,6128000,897,2,1
Aaron Jones,5948000,1121,2,0
Rashaad Penny,5630000,346,2,1
Nick Chubb,5213059,1525,12,1
Gus Edwards,4500000,433,3,1
Jamaal Williams,4375000,1066,17,0
James Conner,3975000,782,7,1
Leonard Fournette,3970588,668,3,1
Josh Jacobs,3796990,1653,12,1
David Montgomery,3051545,801,5,1
Najee Harris,2965328,1034,7,0
Clyde Edwards-Helaire,2951339,302,3,0
Devin Singletary,2798956,822,5,0
Myles Gaskin,2561777,26,0,1
Cordarrelle Patterson,2500000,695,8,1
Rex Burkhead,2476471,80,0,0
D'Andre Swift,2328796,542,5,1
Jonathan Taylor,2135224,861,4,1
Brandon Bolden,2130000,66,0,1
Raheem Mostert,2113235,891,3,1
Mike Boone,2050000,102,0,0
Nyheim Hines,2045833,33,1,0
Javonte Williams,2014944,204,0,0
D'Onta Foreman,2000000,914,5,1
J.D. McKissic,1910000,95,0,1
Samaje Perine,1850000,394,2,0
Boston Scott,1750000,217,3,1
Miles Sanders,1705528,1269,11,0
Cam Akers,1683557,786,7,0
Breece Hall,1639049,463,4,0
J.K. Dobbins,1562574,520,2,1
Kenneth Walker III,1534833,1050,9,1
Ronald Jones II,1500000,70,1,0
Dare Ogunbowale,1450000,123,1,1
Antonio Gibson,1345265,546,3,1
Ke'Shawn Vaughn,1297091,53,0,0
D'Ernest Johnson,1216500,17,0,0
Damien Harris,1186534,462,3,1
Alexander Mattison,1170545,283,5,1
Tony Pollard,1132582,1007,9,1
Chase Edmonds,1111111,245,2,0
Joshua Kelley,1090086,287,2,1
Justice Hill,1080414,262,0,1
James Cook,1060375,525,2,0
Ameer Abdullah,1047500,20,0,0
Darrel Williams,1047500,102,1,1
Giovani Bernard,1047500,28,0,0
Jerick McKinnon,1047500,291,1,0
Matt Breida,1047500,220,1,0
Taiwan Jones,1047500,0,0,1
Kenyan Drake,1035000,482,4,0
Michael Carter,1026840,402,3,1
DeeJay Dallas,1018600,186,0,1
Kene Nwangwu,1013199,14,0,1
Rhamondre Stevenson,1012265,1040,5,1
Chuba Hubbard,1003293,466,2,1
Travis Homer,1000840,74,0,1
Dwayne Washington,995000,38,0,1
Trayveon Williams,965000,30,0,0
Ty Johnson,965000,160,1,0
Dontrell Hilliard,955278,145,0,1
Craig Reynolds,937222,102,0,0
Rachaad White,932727,481,1,0
Tyrion Davis-Price,928826,99,0,1
Jonathan Williams,915000,152,0,1
Kenneth Gainwell,908881,240,4,0
JaMycal Hasty,895000,194,2,0
Salvon Ahmed,895000,64,1,0
Zamir White,890981,70,0,1
Isaiah Spiller,889238,41,0,0
Avery Williams,885038,109,1,0
Pierre Strong Jr.,883357,100,1,0
Trey Sermon,881497,19,0,1
Hassan Haskins,878052,93,0,1
Gary Brightwell,869718,141,1,1
Chris Evans,868222,0,0,1
Brian Robinson Jr.,856144,797,2,1
Dameon Pierce,847747,939,4,1
Justin Jackson,845278,170,1,1
Rico Dowdle,828334,0,0,1
Deon Jackson,825000,236,1,1
Tyler Allgeier,788472,1035,3,0
Snoop Conner,786567,42,1,0
Khalil Herbert,754899,731,4,0
Keaontay Ingram,747647,60,1,0
Trestan Ebner,746484,54,0,0
Brittain Brown,724964,0,0,0
Zander Horvath,724253,8,0,0
Jerome Ford,709148,12,0,0
Jaylen Warren,709000,379,1,1
Jordan Mason,708333,258,1,1
Latavius Murray,696111,760,6,1
Christian McCaffrey,690000,1139,8,1
Kyren Williams,660380,139,0,0
Raheem Blackshear,626667,77,3,0
Ty Chandler,611656,20,0,0
Elijah Mitchell,603672,279,2,1
James Robinson,546944,425,3,0
Kevin Harris,543751,52,1,0
Zack Moss,543750,456,1,0
Trenton Cannon,503889,0,0,0
Caleb Huntley,502500,366,1,1
Malik Davis,430833,161,1,0
Zonovan Knight,430833,300,1,0
Corey Clement,397778,55,1,0
Darrynton Evans,348056,64,0,0
Qadree Ollison,333333,0,0,0
Ronnie Rivers,274167,21,0,0
Jermar Jefferson,241333,0,0,0
Royce Freeman,230000,117,0,0
Bryant Koback,207000,0,0,0
Jashaun Corbin,207000,0,0,0
Tevin Coleman,203722,26,1,0
Spencer Brown,200000,43,0,0
David Johnson,198889,24,0,0
Eno Benjamin,198889,313,2,0
Malcolm Brown,198889,81,1,1
Larry Rountree III,171999,19,0,0
Julius Chestnut,156667,12,0,0
La'Mical Perine,138000,0,0,0
Jonathan Ward,99444,25,0,0
J.J. Taylor,80500,9,0,0
Tyler Badie,78333,0,0,0
Reggie Bonnafon,49722,8,0,0
Jake Funk,45833,0,0,0
Jaret Patterson,45833,78,0,0